0:0:0:0:0:0:0:1 - - [21/May/2020:15:20:24 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:20:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2020:15:20:25 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 3696398
0:0:0:0:0:0:0:1 - - [21/May/2020:15:33:58 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:33:58 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:33:59 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:02 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:06 +0900] "GET /ch07/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:06 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:36 +0900] "GET /ch07/home.html HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:36 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [21/May/2020:15:34:46 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/home.html HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/computer.html HTTP/1.1" 200 1135
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 200 142037
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 200 31477
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /ch07/images/shop.png HTTP/1.1" 200 19622
0:0:0:0:0:0:0:1 - - [21/May/2020:15:37:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2020:15:38:37 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:38:37 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:08 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:11 +0900] "GET /ch07/music.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:12 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:13 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:42:22 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/computer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/medias/computer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:46 +0900] "GET /ch07/medias/notebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:47 +0900] "GET /ch07/movie.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:47 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 4372373
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:47 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 46997
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:47 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 2373525
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:50 +0900] "GET /ch07/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:45:50 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:34 +0900] "GET /ch07/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:34 +0900] "GET /ch07/music.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:34 +0900] "GET /ch07/css/mystyle.css HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:34 +0900] "GET /ch07/images/shop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:34 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:35 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:35 +0900] "GET /ch07/shopcart.html HTTP/1.1" 200 1900
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:38 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:39 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:40 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:40 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:41 +0900] "GET /ch07/index.html HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:42 +0900] "GET /ch07/clothing.html HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:43 +0900] "GET /ch07/medias/old_pop.mp3 HTTP/1.1" 206 4286222
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:43 +0900] "GET /ch07/movie.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2020:15:46:43 +0900] "GET /ch07/medias/movie.mp4 HTTP/1.1" 206 4372373
