127.0.0.1 - - [18/May/2020:16:06:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/May/2020:16:06:51 +0900] "GET /ch03/getmethod.html HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/May/2020:16:06:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2020:16:06:58 +0900] "GET /ch03/getmethod.html?name=rkawk&password=rkrk HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/May/2020:16:07:03 +0900] "GET /ch03/getmethod.html?name=rkawk&password=rkrk HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/May/2020:16:07:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2020:16:07:59 +0900] "GET /ch03/getmethod.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:09:58 +0900] "GET /ch03/postmethod.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/May/2020:16:10:04 +0900] "POST /ch03/postmethod.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [18/May/2020:16:12:33 +0900] "POST /ch03/postmethod.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [18/May/2020:16:12:41 +0900] "POST /ch03/postmethod.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [18/May/2020:16:13:49 +0900] "GET /ch03/getmethod.html HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [18/May/2020:16:14:01 +0900] "GET /ch03/getmethod.html?id=hong&name=%EA%B0%90%EC%9E%90&password=505050 HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [18/May/2020:16:17:23 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [18/May/2020:16:21:43 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [18/May/2020:16:23:31 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [18/May/2020:16:24:04 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [18/May/2020:16:26:21 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [18/May/2020:16:27:54 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [18/May/2020:16:30:10 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [18/May/2020:16:30:53 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [18/May/2020:16:30:53 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:31:29 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:31:51 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:31:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2020:16:33:16 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:34:20 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [18/May/2020:16:34:21 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html?date=&dt=&dtl=&month=&week=&color=%23000000&email=&tel=&search=&range=50&number=&url= HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [18/May/2020:16:35:20 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html?date=&dt=&dtl=&month=&week=&color=%23000000&email=&tel=&search=&range=50&number=&url= HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [18/May/2020:16:35:43 +0900] "GET /ch03/date%EA%B4%80%EB%A0%A8%ED%83%9C%EA%B7%B8.html?date=&dt=&dtl=&month=&week=&color=%23000000&email=123%40naver.com&tel=124&search=124124&range=50&number=124124&url=http%3A%2F%2F124124124.com HTTP/1.1" 200 1388
0:0:0:0:0:0:0:1 - - [18/May/2020:16:40:07 +0900] "GET /ch03/number.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [18/May/2020:16:40:24 +0900] "GET /ch03/number.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/May/2020:16:40:42 +0900] "GET /ch03/number.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/May/2020:16:40:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2020:16:40:51 +0900] "GET /ch03/number.html HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [18/May/2020:16:41:55 +0900] "GET /ch03/number.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [18/May/2020:16:57:19 +0900] "GET /ch03/tel.html HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [18/May/2020:16:58:00 +0900] "GET /ch03/tel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:58:29 +0900] "GET /ch03/tel.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:16:58:52 +0900] "GET /ch03/tel.html HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [18/May/2020:16:58:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/May/2020:16:59:40 +0900] "GET /ch03/tel.html HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [18/May/2020:16:59:43 +0900] "GET /ch03/tel.html? HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [18/May/2020:17:08:22 +0900] "GET /ch03/tel.html? HTTP/1.1" 304 -
